2	76243193012977	e
3	47150130855830	e
1	16539647041770	e
3	11505516888757	e
3	22353353808390	e
2	46445731776846	e
1	23188387014259	e
1	93699878204044	e
2	95500344870359	e
1	81772781189161	e
1	65131252664863	e
2	32225739826395	e
5	89725333941464	e
5	20332186655451	e
3	57822210091908	e
4	74173757292436	e
5	63565401011489	e
2	68977582487945	e
5	85355457937649	e
5	57223229869637	e
4	24122495626623	e
4	23556506484773	e
6	85625908114335	u
6	28708431762435	u
4	81645767946337	e
6	94431073329861	u
6	81838183590274	u
6	84524922705793	u
6	97394899191553	u
6	45022977340612	u
4	89226594929331	e
6	73879048925488	u
7	20556452312565	e
4	50870655524542	e
5	22156602590683	e
10	27008389050133	u
6	63047421430676	u
7	55138514690095	e
9	76993926189498	u
6	22895709126069	u
9	19582801120619	u
8	30486794033067	u
9	28746072945056	u
7	43784255520998	e
10	32175826619756	u
8	76557753483092	u
7	89587661343977	e
9	84856879939599	u
10	36346309826630	u
9	72742350821244	u
8	57654492321168	u
9	41311203903629	e
10	31322487870744	e
13	62918517835841	e
12	38507295330153	e
12	65925895164801	e
10	26491499569572	e
13	35644615520997	e
11	79714722744724	e
9	29194191253309	e
11	25392173353590	e
10	26352711021829	e
10	17746218591188	e
13	92850413624174	e
9	69561753505504	e
12	41663602497755	e
13	17276418154370	e
14	79436921776776	e
14	63256008908734	e
13	28873194790296	e
15	31039424211993	u
12	64247274958997	u
14	69997437210123	u
15	66637728390951	u
13	21437359913467	u
15	99934472586609	u
16	31182162755028	u
15	42623805431203	u
15	88583588677680	u
17	73152602950610	e
14	98579266312592	e
15	52743904509107	e
14	88832818828909	a
16	46793616935042	u
17	34983896602168	u
14	48414777115354	u
16	88965576398958	u
17	80615826610777	e
20	33308437890487	e
16	21134539234357	u
18	91858950345132	u
16	71553177364419	u
20	74612300465125	u
17	94352863408645	u
19	74908599046396	e
18	62837040067397	e
19	62053035659244	e
20	81216649824542	u
20	39497543181496	u
18	24569112631738	e
